Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"M5048.State.MS5048_1","I155.3",Boolean,1,RO,100,,,,,,,,,,"5048气缸高位",
"M5048.State.MS5048_2","I155.5",Boolean,1,RO,100,,,,,,,,,,"5048气缸低位",
"M5048.State.Need_Num","DB50.DBB1427",Byte,1,RO,100,,,,,,,,,,"M5048要取数量",
"M5048.State.PH1","I155.2",Boolean,1,RO,100,,,,,,,,,,"5048减速光电1",
"M5048.State.PH2","I155.4",Boolean,1,RO,100,,,,,,,,,,"5048到位光电1",
"M5048.State.PH3","I155.6",Boolean,1,RO,100,,,,,,,,,,"5048减速光电2",
"M5048.State.PH4","I155.1",Boolean,1,RO,100,,,,,,,,,,"5048到位光电2",
"M5048.State.ReversalRun","DB70.DBX95.7",Boolean,1,RO,100,,,,,,,,,,"M5048反转运行",
"M5048.State.Runing","DB70.DBX94.0",Boolean,1,RO,100,,,,,,,,,,"M5048设备运行标志",
"M5048.State.SelectPlace","DB70.DBX94.7",Boolean,1,RO,100,,,,,,,,,,"M5048选中位",
"M5048.State.YX_DX","DB50.DBB1425",Byte,1,RO,100,,,,,,,,,,"M5048码垛垛型",
"M5048.State.YX_Num","DB50.DBB1426",Byte,1,RO,100,,,,,,,,,,"M5048烟箱数量",
"M5048.State.YX_Type","DB50.DBB1424",Byte,1,RO,100,,,,,,,,,,"M5048烟箱类型",
"M5048.Task.Code","DB50.DINT1412",Long,1,RO,100,,,,,,,,,,"M5048托盘条码",
"M5048.Task.DestSta","DB50.DBW1420",Short,1,RO,100,,,,,,,,,,"M5048目标地址",
"M5048.Task.StartSta","DB50.DBW1418",Short,1,RO,100,,,,,,,,,,"M5048起始地址",
"M5048.Task.Task","DB50.DBW1410",Short,1,RO,100,,,,,,,,,,"M5048任务号",
"M5048.Task.TpType","DB50.DBW1416",Short,1,RO,100,,,,,,,,,,"M5048货物类型",
"M5049.Alarm.B_Fault","DB50.DBX1452.4",Boolean,1,RO,100,,,,,,,,,,"M5049后超长",
"M5049.Alarm.DriveFault","DB70.DBX96.2",Boolean,1,RO,100,,,,,,,,,,"M5049驱动器故障",
"M5049.Alarm.EstopFault","DB70.DBX97.3",Boolean,1,RO,100,,,,,,,,,,"M5049急停故障",
"M5049.Alarm.F_Fault","DB50.DBX1452.3",Boolean,1,RO,100,,,,,,,,,,"M5049前超长",
"M5049.Alarm.H_Fault","DB50.DBX1452.2",Boolean,1,RO,100,,,,,,,,,,"M5049超高",
"M5049.Alarm.L_Fault","DB50.DBX1452.5",Boolean,1,RO,100,,,,,,,,,,"M5049左超宽",
"M5049.Alarm.LS_Fault","DB70.DBX97.2",Boolean,1,RO,100,,,,,,,,,,"M5049限位故障",
"M5049.Alarm.NoRead","DB50.DBX1453.1",Boolean,1,RO,100,,,,,,,,,,"M5049条码未读出",
"M5049.Alarm.OutSideFault","DB70.DBX97.1",Boolean,1,RO,100,,,,,,,,,,"M5049货物超边故障",
"M5049.Alarm.PH_Fault","DB70.DBX96.6",Boolean,1,RO,100,,,,,,,,,,"M5049光电管异常",
"M5049.Alarm.QF_Fault","DB70.DBX96.4",Boolean,1,RO,100,,,,,,,,,,"M5049空开故障",
"M5049.Alarm.QS_Fault","DB70.DBX96.5",Boolean,1,RO,100,,,,,,,,,,"M5049隔离开关故障",
"M5049.Alarm.R_Fault","DB50.DBX1452.6",Boolean,1,RO,100,,,,,,,,,,"M5049右超宽",
"M5049.Alarm.RFID_ReadFault","DB50.DBX1453.3",Boolean,1,RO,100,,,,,,,,,,"M5049RFID读取错误",
"M5049.Alarm.RFID_WriteFault","DB50.DBX1453.2",Boolean,1,RO,100,,,,,,,,,,"M5049RFID写入错误",
"M5049.Alarm.STV_TimeOut","MX1101.7",Boolean,1,RO,100,,,,,,,,,,"M5049环穿任务超时",
"M5049.Alarm.TimeOutFault","DB70.DBX96.3",Boolean,1,RO,100,,,,,,,,,,"M5049超时故障",
"M5049.Alarm.TM_JY_Fault","DB50.DBX1453.0",Boolean,1,RO,100,,,,,,,,,,"M5049条码校验故障",
"M5049.Alarm.TotalFault","DB70.DBX96.1",Boolean,1,RO,100,,,,,,,,,,"M5049总故障",
"M5049.Alarm.WX_Fault","DB50.DBX1452.1",Boolean,1,RO,100,,,,,,,,,,"M5049外形故障",
"M5049.Alarm.WX_TM_Fault","DB50.DBX1452.0",Boolean,1,RO,100,,,,,,,,,,"M5049外形条码总故障",
"M5049.State.Allow","DB50.DBB1459",Byte,1,RO,100,,,,,,,,,,"M5049允许拆盘",
"M5049.State.ForwardRun","DB70.DBX97.6",Boolean,1,RO,100,,,,,,,,,,"M5049正转运行",
"M5049.State.Get_Num","DB50.DBB1458",Byte,1,RO,100,,,,,,,,,,"M5049已取数量",
"M5049.State.GET_OK1","Q119.6",Boolean,1,RO,100,,,,,,,,,,"5049取货OK",
"M5049.State.GET_REQ","I156.4",Boolean,1,RO,100,,,,,,,,,,"5049环穿请求取货",
"M5049.State.LastOne","DB50.DBX1453.4",Boolean,1,RO,100,,,,,,,,,,"M5049强制推盘",
"M5049.State.Load","DB70.DBX97.5",Boolean,1,RO,100,,,,,,,,,,"M5049负载",
"M5049.State.MD_State1","DB50.DINT1460",Long,1,RO,100,,,,,,,,,,"M5049码垛状态1",
"M5049.State.MD_State2","DB50.DBB1464",Byte,1,RO,100,,,,,,,,,,"M5049码垛状态2",
"M5049.State.MS_RUN2","Q119.1",Boolean,1,RO,100,,,,,,,,,,"5049MS可以行走",
"M5049.State.Need_Num","DB50.DBB1457",Byte,1,RO,100,,,,,,,,,,"M5049要取数量",
"M5049.State.PH1","I154.3",Boolean,1,RO,100,,,,,,,,,,"5049减速光电",
"M5049.State.PH2","I154.5",Boolean,1,RO,100,,,,,,,,,,"5049到位光电",
"M5049.State.PH3","I154.7",Boolean,1,RO,100,,,,,,,,,,"5049对射保护光电",
"M5049.State.READY","Q37.7",Boolean,1,RO,100,,,,,,,,,,"5049准备好",
"M5049.State.ReversalRun","DB70.DBX97.7",Boolean,1,RO,100,,,,,,,,,,"M5049反转运行",
"M5049.State.Runing","DB70.DBX96.0",Boolean,1,RO,100,,,,,,,,,,"M5049设备运行标志",
"M5049.State.RUNNING","Q37.5",Boolean,1,RO,100,,,,,,,,,,"5049移栽中",
"M5049.State.SelectPlace","DB70.DBX96.7",Boolean,1,RO,100,,,,,,,,,,"M5049选中位",
"M5049.State.YX_DX","DB50.DBB1455",Byte,1,RO,100,,,,,,,,,,"M5049码垛垛型",
